4666888,#genre#
SPOTV2,http://iptv.4666888.xyz/iptv2A.php?id=1
SPOTV,http://iptv.4666888.xyz/iptv2A.php?id=2
TntSports3,http://iptv.4666888.xyz/iptv2A.php?id=3
astroFootball,http://iptv.4666888.xyz/iptv2A.php?id=4
wwwe,http://iptv.4666888.xyz/iptv2A.php?id=5
博斯運動1,http://iptv.4666888.xyz/iptv2A.php?id=6
爱奇艺,http://iptv.4666888.xyz/iptv2A.php?id=21
千禧经典,http://iptv.4666888.xyz/iptv2A.php?id=22
RTHK31,http://iptv.4666888.xyz/iptv2A.php?id=23
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=25
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=26
鳳凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
TVB翡翠(馬來),http://iptv.4666888.xyz/iptv2A.php?id=28
TVB明珠,http://iptv.4666888.xyz/iptv2A.php?id=29
美亚电影(台),http://iptv.4666888.xyz/iptv2A.php?id=30
HOY78,http://iptv.4666888.xyz/iptv2A.php?id=31
MYTV黃金翡翠,http://iptv.4666888.xyz/iptv2A.php?id=32
TVB翡翠劇集,http://iptv.4666888.xyz/iptv2A.php?id=33
TVB翡翠,http://iptv.4666888.xyz/iptv2A.php?id=34
HOY77,http://iptv.4666888.xyz/iptv2A.php?id=35
TVB娱乐新闻,http://iptv.4666888.xyz/iptv2A.php?id=36
華藝中文,http://iptv.4666888.xyz/iptv2A.php?id=37
緯來電影,http://iptv.4666888.xyz/iptv2A.php?id=40
澳視澳門,http://iptv.4666888.xyz/iptv2A.php?id=41
臺灣戲劇,http://iptv.4666888.xyz/iptv2A.php?id=42
TVBS新聞,http://iptv.4666888.xyz/iptv2A.php?id=43
非凡直播,http://iptv.4666888.xyz/iptv2A.php?id=44
龍華电影,http://iptv.4666888.xyz/iptv2A.php?id=45
民視綜藝,http://iptv.4666888.xyz/iptv2A.php?id=46
TVBS精采,http://iptv.4666888.xyz/iptv2A.php?id=47
東森电影,http://iptv.4666888.xyz/iptv2A.php?id=48
民视,http://iptv.4666888.xyz/iptv2A.php?id=55
EYE戏剧,http://iptv.4666888.xyz/iptv2A.php?id=56
爱尔达综合,http://iptv.4666888.xyz/iptv2A.php?id=49
ROCK_Action,http://iptv.4666888.xyz/iptv2A.php?id=50
JET综合,http://iptv.4666888.xyz/iptv2A.php?id=51
八度空间,http://iptv.4666888.xyz/iptv2A.php?id=52
BBC_Earth,http://iptv.4666888.xyz/iptv2A.php?id=53
中视经典,http://iptv.4666888.xyz/iptv2A.php?id=54

CCTV1,http://iptv.4666888.xyz/iptv2A.php?id=7
CCTV2,http://iptv.4666888.xyz/iptv2A.php?id=8
频道9,http://iptv.4666888.xyz/iptv2A.php?id=9
频道10,http://iptv.4666888.xyz/iptv2A.php?id=10
频道11,http://iptv.4666888.xyz/iptv2A.php?id=11
频道12,http://iptv.4666888.xyz/iptv2A.php?id=12
频道13,http://iptv.4666888.xyz/iptv2A.php?id=13
频道14,http://iptv.4666888.xyz/iptv2A.php?id=14
频道15,http://iptv.4666888.xyz/iptv2A.php?id=15
频道16,http://iptv.4666888.xyz/iptv2A.php?id=16
频道17,http://iptv.4666888.xyz/iptv2A.php?id=17
频道18,http://iptv.4666888.xyz/iptv2A.php?id=18
频道19,http://iptv.4666888.xyz/iptv2A.php?id=19
频道20,http://iptv.4666888.xyz/iptv2A.php?id=20
频道24,http://iptv.4666888.xyz/iptv2A.php?id=24
频道38,http://iptv.4666888.xyz/iptv2A.php?id=38
频道39,http://iptv.4666888.xyz/iptv2A.php?id=39
频道57,http://iptv.4666888.xyz/iptv2A.php?id=57
频道58,http://iptv.4666888.xyz/iptv2A.php?id=58
频道59,http://iptv.4666888.xyz/iptv2A.php?id=59
频道60,http://iptv.4666888.xyz/iptv2A.php?id=60
频道61,http://iptv.4666888.xyz/iptv2A.php?id=61
频道62,http://iptv.4666888.xyz/iptv2A.php?id=62
频道63,http://iptv.4666888.xyz/iptv2A.php?id=63
频道64,http://iptv.4666888.xyz/iptv2A.php?id=64
频道65,http://iptv.4666888.xyz/iptv2A.php?id=65
频道66,http://iptv.4666888.xyz/iptv2A.php?id=66
频道67,http://iptv.4666888.xyz/iptv2A.php?id=67
